0, 0
0.0628, 0.0627587
0.1256, 0.12527
0.1884, 0.187287
0.2512, 0.248566
0.314, 0.308866
0.3768, 0.367947
0.4396, 0.425578
0.5024, 0.48153
0.5652, 0.535585
0.628, 0.587528
0.6908, 0.637154
0.7536, 0.684268
0.8164, 0.728685
0.8792, 0.770229
0.942, 0.808736
1.0048, 0.844055
1.0676, 0.876046
1.1304, 0.904583
1.1932, 0.929554
1.256, 0.950859
1.3188, 0.968417
1.3816, 0.982156
1.4444, 0.992023
1.5072, 0.997978
1.57, 1
1.6328, 0.998078
1.6956, 0.992222
1.7584, 0.982454
1.8212, 0.968812
1.884, 0.951351
1.9468, 0.93014
2.0096, 0.905261
2.0724, 0.876813
2.1352, 0.844908
2.198, 0.809672
2.2608, 0.771244
2.3236, 0.729775
2.3864, 0.685429
2.4492, 0.638381
2.512, 0.588816
2.5748, 0.536929
2.6376, 0.482926
2.7004, 0.427018
2.7632, 0.369427
2.826, 0.31038
2.8888, 0.250109
2.9516, 0.188852
3.0144, 0.12685
3.0772, 0.0643482
3.14, 0.00159255
3.2028, -0.0611692
3.2656, -0.12369
3.3284, -0.185723
3.3912, -0.247024
3.454, -0.30735
3.5168, -0.366465
3.5796, -0.424136
3.6424, -0.480134
3.7052, -0.534239
3.768, -0.586238
3.8308, -0.635926
3.8936, -0.683106
3.9564, -0.727593
4.0192, -0.769212
4.082, -0.807798
4.1448, -0.8432
4.2076, -0.875277
4.2704, -0.903903
4.3332, -0.928965
4.396, -0.950365
4.4588, -0.968018
4.5216, -0.981855
4.5844, -0.991821
4.6472, -0.997876
4.71, -0.999997
4.7728, -0.998176
4.8356, -0.992419
4.8984, -0.98275
4.9612, -0.969206
5.024, -0.951841
5.0868, -0.930723
5.1496, -0.905936
5.2124, -0.877577
5.2752, -0.845759
5.338, -0.810606
5.4008, -0.772256
5.4636, -0.730863
5.5264, -0.686588
5.5892, -0.639606
5.652, -0.590102
5.7148, -0.538272
5.7776, -0.48432
5.8404, -0.428458
5.9032, -0.370907
5.966, -0.311893
6.0288, -0.251651
6.0916, -0.190415
6.1544, -0.12843
6.2172, -0.0659376
